preferred	ensembl	entrez
IGLV1-47	ENSG00000211648	ENSG00000211648
SNORA5A	ENSG00000206838	654319
ENSG00000265191	ENSG00000265191	ENSG00000265191
ANGPT2	ENSG00000091879	285
IGHV1-18	ENSG00000211945	ENSG00000211945
IGKJ3	ENSG00000211595	ENSG00000211595
IGHV3-74	ENSG00000224650	ENSG00000224650
IGHV4-34	ENSG00000211956	ENSG00000211956
BRSK1	ENSG00000160469	84446
HMGB1P9	ENSG00000224159	ENSG00000224159
SLC1A6	ENSG00000105143	6511
AL133355.1	ENSG00000260461	ENSG00000260461
KRBA2	ENSG00000184619	124751
AL049597.1	ENSG00000230721	ENSG00000230721
LOC102724776	ENSG00000250910	102724776
LOC101927533	ENSG00000204929	101927533
ANAPC1P1	ENSG00000233673	100286979
AC008567.1	ENSG00000260112	ENSG00000260112
RIMS2	ENSG00000176406	9699
AC018638.7	ENSG00000271553	ENSG00000271553
IGKV2-24	ENSG00000241294	ENSG00000241294
LOC101927356	ENSG00000223770	101927356
AC097382.1	ENSG00000187904	ENSG00000187904
LINC01762	ENSG00000233154	101929023
KLK10	ENSG00000129451	5655
CDH1	ENSG00000039068	999
PSMD6-AS1	ENSG00000243410	ENSG00000243410
FAM226B	ENSG00000269911	ENSG00000269911
MIR181A1HG	ENSG00000229989	ENSG00000229989
KIAA0825	ENSG00000185261	285600
CCNB3P1	ENSG00000249616	ENSG00000249616
AC125437.1	ENSG00000267655	ENSG00000267655
ENSG00000266427	ENSG00000266427	ENSG00000266427
RNF185-AS1	ENSG00000254835	ENSG00000254835
AL035401.1	ENSG00000233358	ENSG00000233358
SCGB1B2P	ENSG00000268751	ENSG00000268751
LOC101927793	ENSG00000259881	101927793
AP001029.2	ENSG00000267199	ENSG00000267199
RAMP2-AS1	ENSG00000197291	100190938
PLXDC1	ENSG00000161381	57125
RN7SL717P	ENSG00000240302	ENSG00000240302
IGLV3-21	ENSG00000211662	ENSG00000211662
IGHG4	ENSG00000211892	ENSG00000211892
ATP6V1G2	ENSG00000213760	534
PGLYRP1	ENSG00000008438	8993
LOC101927877	ENSG00000265000	101927877
AC110615.1	ENSG00000229717	ENSG00000229717
C1orf54	ENSG00000118292	79630
AC091185.1	ENSG00000253476	ENSG00000253476
SPAST	ENSG00000021574	6683
RPS18P12	ENSG00000230897	ENSG00000230897
GPRC5D	ENSG00000111291	55507
XBP1	ENSG00000100219	7494
CTHRC1	ENSG00000164932	115908
CCNI	ENSG00000118816	10983
IGHV3-72	ENSG00000225698	ENSG00000225698
AC008267.5	ENSG00000244510	ENSG00000244510
LRWD1	ENSG00000161036	222229
IGKV1D-27	ENSG00000224607	ENSG00000224607
RUVBL2	ENSG00000183207	10856
IGKV1-6	ENSG00000239855	ENSG00000239855
LOC101926933	ENSG00000257285	101926933
DDR1	ENSG00000204580	780
RPL10P15	ENSG00000267119	ENSG00000267119
AC079776.1	ENSG00000217289	ENSG00000217289
AL356653.1	ENSG00000233514	ENSG00000233514
RNU2-45P	ENSG00000251877	ENSG00000251877
AC010487.2	ENSG00000269646	ENSG00000269646
RPL17P34	ENSG00000213432	ENSG00000213432
SNRPCP13	ENSG00000249799	ENSG00000249799
AP001381.1	ENSG00000266541	ENSG00000266541
ENSG00000267874	ENSG00000267874	ENSG00000267874
ENSG00000237658	ENSG00000237658	ENSG00000237658
AC253536.6	ENSG00000272787	ENSG00000272787
OSTCP1	ENSG00000243775	202459
RNA5SP281	ENSG00000252313	ENSG00000252313
ZPBP2	ENSG00000186075	124626
ENSG00000264280	ENSG00000264280	ENSG00000264280
SPTB	ENSG00000070182	6710
ENSG00000203306	ENSG00000203306	ENSG00000203306
RN7SKP188	ENSG00000222721	ENSG00000222721
AC123788.1	ENSG00000254592	ENSG00000254592
GDAP1	ENSG00000104381	54332
MIR99AHG	ENSG00000215386	ENSG00000215386
GRIA1	ENSG00000155511	2890
LINC00458	ENSG00000234787	100507428
FRMD6	ENSG00000139926	122786
AC011445.2	ENSG00000269246	ENSG00000269246
AC128687.2	ENSG00000273394	ENSG00000273394
LINC01393	ENSG00000225535	102724386
RPS8P4	ENSG00000227437	ENSG00000227437
AC105052.2	ENSG00000213385	ENSG00000213385
CR383656.2	ENSG00000257175	ENSG00000257175
ENSG00000267163	ENSG00000267163	ENSG00000267163
RPL14P5	ENSG00000225661	ENSG00000225661
LDLRAD4	ENSG00000168675	753
AC005225.2	ENSG00000258603	ENSG00000258603
AL031733.2	ENSG00000241666	ENSG00000241666
DNAJB7	ENSG00000172404	150353
SAPCD2	ENSG00000186193	89958
RN7SL75P	ENSG00000239908	ENSG00000239908
P3H2	ENSG00000090530	55214
CDC20B	ENSG00000164287	166979
CORO6	ENSG00000167549	84940
AL513548.1	ENSG00000261584	ENSG00000261584
RPS3AP37	ENSG00000227583	ENSG00000227583
AC012513.1	ENSG00000231092	ENSG00000231092
AC109460.1	ENSG00000260367	ENSG00000260367
RAB15	ENSG00000139998	376267
ALOX12P2	ENSG00000262943	245
AL512633.1	ENSG00000215284	ENSG00000215284
AC023983.1	ENSG00000264365	ENSG00000264365
MSMP	ENSG00000215183	692094
ALS2CR12	ENSG00000155749	130540
AC005519.2	ENSG00000258559	ENSG00000258559
LOC100287042	ENSG00000263843	100287042
RN7SL813P	ENSG00000241074	ENSG00000241074
BX679664.1	ENSG00000228665	ENSG00000228665
CUBN	ENSG00000107611	8029
RPL29P11	ENSG00000224858	ENSG00000224858
COL28A1	ENSG00000215018	340267
NPM1P6	ENSG00000213881	ENSG00000213881
HAAO	ENSG00000162882	23498
AP001160.4	ENSG00000269463	ENSG00000269463
TMEM133	ENSG00000170647	ENSG00000170647
KCNMB2	ENSG00000197584	10242
MIR570	ENSG00000207650	693155
AC009108.1	ENSG00000243697	ENSG00000243697
LOC102724323	ENSG00000231964	102724323
LINC01011	ENSG00000244041	401232
AL021937.4	ENSG00000241954	ENSG00000241954
MTND4LP30	ENSG00000198868	ENSG00000198868
AC005616.1	ENSG00000267423	ENSG00000267423
KCTD9P2	ENSG00000181819	ENSG00000181819
XIAP-AS1	ENSG00000237331	ENSG00000237331
RN7SL698P	ENSG00000244232	ENSG00000244232
MIR320E	ENSG00000211513	100422913
AC060234.2	ENSG00000233665	ENSG00000233665
FAM47E-STBD1	ENSG00000272414	100631383
ENSG00000267798	ENSG00000267798	ENSG00000267798
AL023284.3	ENSG00000220660	ENSG00000220660
ENSG00000264746	ENSG00000264746	ENSG00000264746
DNAJC9-AS1	ENSG00000236756	414245
RPL36A-HNRNPH2	ENSG00000257529	ENSG00000257529
ADM5	ENSG00000224420	199800
TRMT9B	ENSG00000250305	57604
AC129510.1	ENSG00000265678	ENSG00000265678
ENSG00000268852	ENSG00000268852	ENSG00000268852
RN7SL510P	ENSG00000266308	ENSG00000266308
MIR621	ENSG00000207652	693206
ENSG00000265364	ENSG00000265364	ENSG00000265364
AC055876.2	ENSG00000254398	ENSG00000254398
ZNF385C	ENSG00000187595	201181
CFAP58-AS1	ENSG00000231233	ENSG00000231233
AL157931.1	ENSG00000262198	ENSG00000262198
RN7SL252P	ENSG00000244318	ENSG00000244318
RCN3	ENSG00000142552	57333
AP000812.1	ENSG00000204971	ENSG00000204971
ENSG00000196648	ENSG00000196648	ENSG00000196648
RN7SL300P	ENSG00000265813	ENSG00000265813
ZNF154	ENSG00000179909	7710
AP003716.1	ENSG00000251637	ENSG00000251637
LOC105370105	ENSG00000235438	105370105
AC005261.3	ENSG00000268678	ENSG00000268678
LYPD6B	ENSG00000150556	130576
AC002470.1	ENSG00000272829	ENSG00000272829
AC024267.5	ENSG00000265908	ENSG00000265908
LOC107987516	ENSG00000238158	107987516
FAM50B	ENSG00000238158	26240
GNAT2	ENSG00000134183	2780
LINC02395	ENSG00000257771	101927292
SLC2A4	ENSG00000181856	6517
ZNF808	ENSG00000198482	388558
ENSG00000259344	ENSG00000259344	ENSG00000259344
ENSG00000265053	ENSG00000265053	ENSG00000265053
AC004889.1	ENSG00000244198	ENSG00000244198
CR936218.1	ENSG00000262372	ENSG00000262372
AC107214.1	ENSG00000232648	ENSG00000232648
ESR2	ENSG00000140009	2100
AC026904.3	ENSG00000253688	ENSG00000253688
KLF11	ENSG00000172059	8462
MGST2	ENSG00000085871	4258
AC023905.1	ENSG00000259221	ENSG00000259221
RTCA-AS1	ENSG00000224616	ENSG00000224616
PABPC1P3	ENSG00000230673	ENSG00000230673
FBXW10	ENSG00000171931	10517
ZNF563	ENSG00000188868	147837
AL031717.1	ENSG00000261207	ENSG00000261207
IGLL3P	ENSG00000206066	ENSG00000206066
AL158152.1	ENSG00000269929	ENSG00000269929
AC008440.2	ENSG00000232220	ENSG00000232220
RASEF	ENSG00000165105	158158
SLC23A3	ENSG00000213901	151295
KIFC3	ENSG00000140859	3801
LOC105372038	ENSG00000264151	105372038
AC124276.1	ENSG00000254991	ENSG00000254991
RPL21P119	ENSG00000220793	ENSG00000220793
AC090543.2	ENSG00000243403	ENSG00000243403
AL449403.1	ENSG00000237212	ENSG00000237212
ZNF799	ENSG00000196466	90576
AC090358.1	ENSG00000265217	ENSG00000265217
SLC3A1	ENSG00000138079	6519
FAM109B	ENSG00000177096	150368
C8orf88	ENSG00000253250	100127983
ENSG00000266138	ENSG00000266138	ENSG00000266138
AC087894.1	ENSG00000255757	ENSG00000255757
AC090607.3	ENSG00000259708	ENSG00000259708
GK-IT1	ENSG00000229331	ENSG00000229331
LINC00682	ENSG00000245870	101927074
SPEF2	ENSG00000152582	79925
RSL24D1P11	ENSG00000231544	ENSG00000231544
RPL37P15	ENSG00000216365	ENSG00000216365
RPL7P57	ENSG00000224401	ENSG00000224401
ENSG00000264238	ENSG00000264238	ENSG00000264238
LOC101930059	ENSG00000219481	101930059
TBXA2R	ENSG00000006638	6915
ENSG00000239138	ENSG00000239138	ENSG00000239138
RPS29P17	ENSG00000227852	ENSG00000227852
ACTG1P3	ENSG00000215388	ENSG00000215388
DNAH12	ENSG00000174844	201625
RPL18AP16	ENSG00000237793	ENSG00000237793
IGHJ5	ENSG00000242472	ENSG00000242472
RN7SL521P	ENSG00000240877	ENSG00000240877
AL137191.1	ENSG00000259093	ENSG00000259093
ENDOU	ENSG00000111405	8909
AC061975.1	ENSG00000260777	ENSG00000260777
ENSG00000264109	ENSG00000264109	ENSG00000264109
IGKJ4	ENSG00000211594	ENSG00000211594
IGLV5-52	ENSG00000211643	ENSG00000211643
IGKV1-17	ENSG00000240382	ENSG00000240382
BX890604.1	ENSG00000205664	ENSG00000205664
IGKV2D-28	ENSG00000242534	ENSG00000242534
BRICD5	ENSG00000182685	283870
SELENOM	ENSG00000198832	140606
MIA3	ENSG00000154305	375056
HIST1H2BD	ENSG00000158373	3017
PGRMC2	ENSG00000164040	10424
IGKV1-8	ENSG00000240671	ENSG00000240671
SIKE1	ENSG00000052723	80143
ADIPOR2	ENSG00000006831	79602
UROD	ENSG00000126088	7389
SFT2D1	ENSG00000198818	113402
MRPS25	ENSG00000131368	64432
ZNF443	ENSG00000180855	10224
TNFRSF1B	ENSG00000028137	7133
AC037486.1	ENSG00000254303	ENSG00000254303
AL807752.2	ENSG00000229257	ENSG00000229257
ZNF610	ENSG00000167554	162963
LINC00707	ENSG00000238266	100507127
RN7SL477P	ENSG00000239367	ENSG00000239367
ENSG00000266694	ENSG00000266694	ENSG00000266694
ADAMTS4	ENSG00000158859	9507
ABTB2	ENSG00000166016	25841
LOC101928659	ENSG00000270006	101928659
AL157871.5	ENSG00000258904	ENSG00000258904
LILRB4	ENSG00000186818	11006
AC007663.4	ENSG00000273343	ENSG00000273343
ENSG00000243745	ENSG00000243745	ENSG00000243745
ZNF138	ENSG00000197008	7697
FAM86FP	ENSG00000164845	ENSG00000164845
AL121989.1	ENSG00000267734	ENSG00000267734
OGFRP1	ENSG00000182057	388906
TPT1P10	ENSG00000180221	ENSG00000180221
